epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7296,1.53958,3.71047,0.96501,0.014,0.53846,0.01308,0.0063,1.03718,3.2911,0.94991,0,0,0
2,14.3003,1.39132,3.61135,0.95433,0.014,0.53846,0.01228,0.00628,1.02863,3.29147,0.94789,1.9802e-05,1.9802e-05,1.9802e-05
3,15.0838,1.44137,3.6522,0.95105,0.01467,0.5641,0.01352,0.0072,1.02635,3.2911,0.9466,3.9208e-05,3.9208e-05,3.9208e-05
4,15.9102,1.45207,3.61725,0.97868,0.016,0.61538,0.01391,0.00757,1.02203,3.29018,0.94609,5.8218e-05,5.8218e-05,5.8218e-05
5,16.6485,1.43925,3.64322,0.94294,0.016,0.61538,0.01464,0.00768,1.02242,3.29004,0.94637,7.6832e-05,7.6832e-05,7.6832e-05
6,17.5544,1.37363,3.65427,0.96173,0.01533,0.58974,0.01622,0.00915,1.07831,3.29341,0.92886,9.505e-05,9.505e-05,9.505e-05
7,18.4875,1.24151,3.51142,0.89684,0.01867,0.71795,0.02209,0.01202,0.97429,3.30334,0.89174,0.000112872,0.000112872,0.000112872
8,19.3367,1.18717,3.31093,0.88957,0.01933,0.74359,0.02399,0.01311,0.97039,3.30239,0.8933,0.000130298,0.000130298,0.000130298
9,20.3603,1.28136,3.38851,0.88846,0.02,0.76923,0.03096,0.01664,0.91703,3.31867,0.88135,0.000147328,0.000147328,0.000147328
10,21.3706,1.37615,3.21643,0.90532,0.02067,0.79487,0.03547,0.02097,0.86992,3.28967,0.87886,0.000163962,0.000163962,0.000163962
11,22.0067,1.12911,2.91434,0.86883,0.02133,0.82051,0.06949,0.03824,0.83791,3.28779,0.87738,0.0001802,0.0001802,0.0001802
12,22.5882,1.02795,2.74742,0.86366,0.02267,0.87179,0.23884,0.12612,0.88104,3.26859,0.87661,0.000196042,0.000196042,0.000196042
13,23.1838,1.10541,2.51477,0.88697,0.02267,0.87179,0.33677,0.15003,0.89526,3.2547,0.87694,0.000211488,0.000211488,0.000211488
14,23.7876,1.18031,2.24477,0.86386,0.02267,0.87179,0.42526,0.21494,0.86722,3.24544,0.87533,0.000226538,0.000226538,0.000226538
15,24.3694,1.05837,2.04301,0.85347,0.022,0.84615,0.37172,0.16165,0.87075,3.24905,0.87914,0.000241192,0.000241192,0.000241192
16,24.9155,1.36257,1.9367,0.8717,0.02267,0.87179,0.25707,0.11072,0.8965,3.26567,0.87157,0.00025545,0.00025545,0.00025545
17,25.4734,1.07786,1.73009,0.85127,0.02267,0.87179,0.23967,0.09063,0.87092,3.25937,0.85777,0.000269312,0.000269312,0.000269312
18,26.0141,1.14093,1.50152,0.88198,0.02267,0.87179,0.23967,0.09063,0.87092,3.25937,0.85777,0.000282778,0.000282778,0.000282778
19,26.6213,1.09063,1.54543,0.84146,0.02267,0.87179,0.19911,0.09449,0.84406,3.2399,0.8521,0.000295848,0.000295848,0.000295848
20,27.1408,1.30004,1.39906,0.85422,0.02267,0.87179,0.19911,0.09449,0.84406,3.2399,0.8521,0.000308522,0.000308522,0.000308522
21,27.7556,1.2336,1.43969,0.86275,0.02333,0.89744,0.16897,0.08392,0.83097,3.22416,0.85204,0.0003208,0.0003208,0.0003208
22,28.3121,1.16288,1.30656,0.87204,0.02333,0.89744,0.16897,0.08392,0.83097,3.22416,0.85204,0.000332682,0.000332682,0.000332682
23,28.91,1.18694,1.3264,0.85314,0.02333,0.89744,0.12891,0.07332,0.87801,3.21604,0.85247,0.000344168,0.000344168,0.000344168
24,29.4457,1.17763,1.16648,0.91419,0.02333,0.89744,0.12891,0.07332,0.87801,3.21604,0.85247,0.000355258,0.000355258,0.000355258
25,30.0121,1.09922,1.29092,0.85485,0.02267,0.87179,0.16456,0.07223,0.86769,3.19468,0.85161,0.000365952,0.000365952,0.000365952
26,30.5646,0.99443,1.08106,0.84734,0.02267,0.87179,0.16456,0.07223,0.86769,3.19468,0.85161,0.00037625,0.00037625,0.00037625
